filename,width,height,class,xmin,ymin,xmax,ymax
IMG_3890.JPG,4032,3024,1en,1306,1041,1729,1373
IMG_3890.JPG,4032,3024,1en,1729,1010,2134,1341
IMG_3890.JPG,4032,3024,1en,2106,1114,2520,1464
IMG_3890.JPG,4032,3024,10en,2579,1305,3120,1755
IMG_3890.JPG,4032,3024,10en,2093,1682,2684,2187
IMG_3890.JPG,4032,3024,10en,1106,1987,1725,2555
IMG_3890.JPG,4032,3024,100en,1625,1414,2138,1837
IMG_3874.JPG,4032,3024,50en,938,534,1502,1079
IMG_3874.JPG,4032,3024,500en,2711,1652,3429,2370
IMG_3888.JPG,4032,3024,10en,1738,1796,2197,2241
IMG_3888.JPG,4032,3024,10en,2147,951,2570,1360
IMG_3888.JPG,4032,3024,10en,2561,1237,2988,1655
IMG_3859.JPG,4032,3024,1en,1816,1344,2189,1707
IMG_3859.JPG,4032,3024,5en,2116,1426,2570,1853
IMG_3859.JPG,4032,3024,100en,1779,1989,2243,2471
IMG_3859.JPG,4032,3024,10en,2370,1998,2889,2498
IMG_3859.JPG,4032,3024,500en,2043,2398,2653,3024
IMG_3886.JPG,4032,3024,1en,1884,1273,2193,1601
IMG_3886.JPG,4032,3024,1en,3143,1178,3475,1505
IMG_3886.JPG,4032,3024,5en,1434,1714,1784,2046
IMG_3886.JPG,4032,3024,10en,2684,501,3038,837
IMG_3886.JPG,4032,3024,10en,2665,982,3011,1341
IMG_3886.JPG,4032,3024,10en,1629,2114,1984,2487
IMG_3886.JPG,4032,3024,10en,702,1751,1065,2114
IMG_3886.JPG,4032,3024,50en,711,1423,1029,1719
IMG_3886.JPG,4032,3024,50en,1134,1551,1461,1891
IMG_3886.JPG,4032,3024,100en,2075,728,2415,1064
IMG_3886.JPG,4032,3024,100en,1297,2010,1643,2387
IMG_3886.JPG,4032,3024,500en,2225,2214,2625,2637
IMG_3879.JPG,4032,3024,1en,2129,1279,2529,1625
IMG_3879.JPG,4032,3024,10en,3074,1070,3547,1443
IMG_3879.JPG,4032,3024,10en,1738,1697,2292,2134
IMG_3879.JPG,4032,3024,100en,1838,1061,2265,1379
IMG_3879.JPG,4032,3024,100en,911,2161,1456,2661
IMG_3879.JPG,4032,3024,50en,1283,1161,1692,1497
IMG_3879.JPG,4032,3024,500en,2474,1816,3120,2370
IMG_3889.JPG,4032,3024,1en,2379,1360,2811,1787
IMG_3889.JPG,4032,3024,10en,2193,814,2688,1296
IMG_3889.JPG,4032,3024,10en,1720,1569,2234,2101
IMG_3889.JPG,4032,3024,10en,2952,1501,3456,2010
IMG_3883.JPG,4032,3024,1en,2147,1307,2429,1561
IMG_3883.JPG,4032,3024,1en,2511,1543,2792,1843
IMG_3883.JPG,4032,3024,5en,2092,1579,2411,1879
IMG_3883.JPG,4032,3024,50en,1665,1325,1956,1616
IMG_3883.JPG,4032,3024,50en,1838,1561,2102,1834
IMG_3883.JPG,4032,3024,10en,2529,1243,2856,1579
IMG_3883.JPG,4032,3024,10en,2102,1925,2429,2234
IMG_3883.JPG,4032,3024,10en,1347,1625,1665,1979
IMG_3883.JPG,4032,3024,100en,1938,1088,2247,1416
IMG_3883.JPG,4032,3024,100en,1647,1743,1947,2088
IMG_3883.JPG,4032,3024,500en,2411,1825,2783,2197
IMG_3862.JPG,4032,3024,5en,2143,962,2589,1371
IMG_3862.JPG,4032,3024,100en,1934,1189,2389,1571
IMG_3862.JPG,4032,3024,10en,2170,1498,2679,1962
IMG_3862.JPG,4032,3024,500en,2516,1453,2907,2026
IMG_3861.JPG,4032,3024,100en,2143,1235,2598,1626
IMG_3861.JPG,4032,3024,5en,2489,998,2916,1389
IMG_3861.JPG,4032,3024,10en,2525,1398,3034,1807
IMG_3861.JPG,4032,3024,500en,2470,1644,3052,2007
IMG_3861.JPG,4032,3024,1en,1579,789,1852,1007
IMG_3884.JPG,4032,3024,1en,2170,1453,2407,1689
IMG_3884.JPG,4032,3024,1en,2470,1671,2716,1916
IMG_3884.JPG,4032,3024,5en,2116,1671,2370,1935
IMG_3884.JPG,4032,3024,10en,2480,1416,2780,1698
IMG_3884.JPG,4032,3024,10en,2134,1962,2407,2271
IMG_3884.JPG,4032,3024,10en,1461,1735,1752,2025
IMG_3884.JPG,4032,3024,50en,1761,1462,1989,1725
IMG_3884.JPG,4032,3024,50en,1880,1671,2134,1925
IMG_3884.JPG,4032,3024,100en,1980,1271,2252,1544
IMG_3884.JPG,4032,3024,100en,2380,1889,2698,2216
IMG_3884.JPG,4032,3024,100en,1716,1844,1989,2125
IMG_3868.JPG,4032,3024,1en,2083,888,2483,1288
IMG_3868.JPG,4032,3024,1en,2474,1216,2865,1634
IMG_3868.JPG,4032,3024,1en,2229,1170,2538,1597
IMG_3868.JPG,4032,3024,1en,1629,1352,2056,1770
IMG_3868.JPG,4032,3024,5en,2129,1770,2602,2225
IMG_3868.JPG,4032,3024,10en,2438,652,2902,1152
IMG_3868.JPG,4032,3024,10en,1674,979,2147,1434
IMG_3868.JPG,4032,3024,10en,2183,2188,2702,2716
IMG_3868.JPG,4032,3024,10en,2320,1597,2838,2025
IMG_3868.JPG,4032,3024,10en,1592,1688,2065,2125
IMG_3868.JPG,4032,3024,50en,2029,1379,2365,1770
IMG_3868.JPG,4032,3024,100en,1383,2107,1911,2661
IMG_3868.JPG,4032,3024,500en,1847,2025,2274,2643
IMG_3881.JPG,4032,3024,1en,2020,1097,2474,1552
IMG_3881.JPG,4032,3024,5en,1847,1479,2347,2016
IMG_3881.JPG,4032,3024,10en,3183,770,3711,1325
IMG_3881.JPG,4032,3024,10en,1929,2097,2502,2670
IMG_3881.JPG,4032,3024,50en,1356,1497,1829,1979
IMG_3881.JPG,4032,3024,50en,983,861,1492,1379
IMG_3881.JPG,4032,3024,100en,1674,716,2202,1216
IMG_3881.JPG,4032,3024,100en,802,2197,1329,2761
IMG_3881.JPG,4032,3024,500en,2456,1843,3056,2479
IMG_3895.JPG,4032,3024,1en,2229,1064,2502,1323
IMG_3895.JPG,4032,3024,1en,2452,1087,2797,1382
IMG_3895.JPG,4032,3024,1en,2720,1187,3056,1464
IMG_3895.JPG,4032,3024,10en,1784,1832,2311,2291
IMG_3895.JPG,4032,3024,10en,2706,1446,3161,1787
IMG_3895.JPG,4032,3024,10en,2556,1591,3038,1951
IMG_3895.JPG,4032,3024,100en,1170,1341,1652,1691
IMG_3895.JPG,4032,3024,100en,2175,1364,2570,1705
IMG_3895.JPG,4032,3024,500en,1684,1396,2215,1828
IMG_3895.JPG,4032,3024,50en,2297,1807,2774,2223
IMG_3866.JPG,4032,3024,1en,1802,970,2147,1225
IMG_3866.JPG,4032,3024,1en,1738,1307,2120,1625
IMG_3866.JPG,4032,3024,1en,2711,961,3147,1243
IMG_3866.JPG,4032,3024,1en,2029,1088,2420,1352
IMG_3866.JPG,4032,3024,50en,1338,1334,1711,1670
IMG_3866.JPG,4032,3024,500en,1829,1861,2456,2452
IMG_3866.JPG,4032,3024,5en,2620,1970,3211,2452
IMG_3866.JPG,4032,3024,100en,2338,1143,2838,1497
IMG_3866.JPG,4032,3024,10en,1411,1725,1902,2152
IMG_3866.JPG,4032,3024,10en,2265,816,2692,1134
IMG_3866.JPG,4032,3024,10en,2938,1570,3565,2097
IMG_3866.JPG,4032,3024,10en,2738,1234,3283,1661
IMG_3866.JPG,4032,3024,10en,1965,1497,2456,1907
IMG_3856.JPG,4032,3024,5en,1498,1135,1961,1480
IMG_3856.JPG,4032,3024,1en,1552,871,1961,1144
IMG_3856.JPG,4032,3024,10en,2079,726,2489,998
IMG_3856.JPG,4032,3024,500en,2052,1117,2561,1462
IMG_3856.JPG,4032,3024,100en,2470,989,2898,1271
IMG_3858.JPG,4032,3024,1en,2079,1526,2370,1898
IMG_3858.JPG,4032,3024,100en,1725,2053,2089,2480
IMG_3858.JPG,4032,3024,5en,2307,1762,2679,2162
IMG_3858.JPG,4032,3024,10en,2207,2353,2643,2835
IMG_3858.JPG,4032,3024,500en,1707,2553,2243,3017
IMG_3902.JPG,4032,3024,1en,1852,1165,2052,1351
IMG_3902.JPG,4032,3024,1en,2166,1258,2344,1437
IMG_3902.JPG,4032,3024,1en,1880,1401,2066,1580
IMG_3902.JPG,4032,3024,5en,2473,1658,2680,1865
IMG_3902.JPG,4032,3024,10en,1316,1158,1544,1380
IMG_3902.JPG,4032,3024,10en,2159,944,2366,1158
IMG_3902.JPG,4032,3024,10en,2209,1515,2423,1722
IMG_3902.JPG,4032,3024,10en,1759,1830,1980,2044
IMG_3902.JPG,4032,3024,10en,1980,1772,2187,2001
IMG_3902.JPG,4032,3024,50en,2137,1694,2337,1880
IMG_3902.JPG,4032,3024,50en,2766,1287,2952,1480
IMG_3902.JPG,4032,3024,100en,1359,1501,1566,1701
IMG_3902.JPG,4032,3024,100en,2023,1480,2223,1687
IMG_3902.JPG,4032,3024,500en,1823,1565,2052,1787
IMG_3869.JPG,4032,3024,1en,2283,761,2665,1125
IMG_3869.JPG,4032,3024,1en,2611,1052,3011,1434
IMG_3869.JPG,4032,3024,1en,2856,907,3256,1307
